cidade,data_hora,temperatura,sensacao_termica,umidade,descricao,vento_velocidade
Recife,2025-05-26 19:20:29,27.02,29.6,78,nuvens dispersas,4.63
Olinda,2025-05-26 19:20:29,26.85,29.24,78,nuvens dispersas,4.63
Jaboatão dos Guararapes,2025-05-26 19:20:29,27.03,29.62,78,nuvens dispersas,4.63
